"id","fdc_id","seq_num","amount","measure_unit_id","portion_description","modifier","gram_weight","data_points","footnote","min_year_acquired"
"260338","1097576","5","","9999","Quantity not specified","90000","170","","",""
"259584","1097576","1","","9999","1 4 oz container","64638","113","","",""
"247134","1097576","3","","9999","1 container, NFS","60598","170","","",""
"246250","1097576","2","","9999","1 6 oz container","60039","170","","",""
"237136","1097576","4","","9999","1 cup","10205","245","","",""
"260339","1097577","5","","9999","Quantity not specified","90000","150","","",""
"258636","1097577","1","","9999","1 5.3 oz container","64562","150","","",""
"247135","1097577","3","","9999","1 container, NFS","60598","150","","",""
"246251","1097577","2","","9999","1 6 oz container","60039","170","","",""
"237137","1097577","4","","9999","1 cup","10205","245","","",""
"260340","1097578","5","","9999","Quantity not specified","90000","150","","",""
"258637","1097578","1","","9999","1 5.3 oz container","64562","150","","",""
"247136","1097578","3","","9999","1 container, NFS","60598","150","","",""
"246252","1097578","2","","9999","1 6 oz container","60039","170","","",""
"237138","1097578","4","","9999","1 cup","10205","245","","",""
"260341","1097579","6","","9999","Quantity not specified","90000","150","","",""
"258638","1097579","2","","9999","1 5.3 oz container","64562","150","","",""
"255442","1097579","1","","9999","1 tube","64066","57","","",""
"247137","1097579","4","","9999","1 container, NFS","60598","150","","",""
"246253","1097579","3","","9999","1 6 oz container","60039","170","","",""
"237139","1097579","5","","9999","1 cup","10205","245","","",""
"260342","1097580","5","","9999","Quantity not specified","90000","150","","",""
"258639","1097580","1","","9999","1 5.3 oz container","64562","150","","",""
"247138","1097580","3","","9999","1 container, NFS","60598","150","","",""
"246254","1097580","2","","9999","1 6 oz container","60039","170","","",""
"237140","1097580","4","","9999","1 cup","10205","245","","",""
"260343","1097581","9","","9999","Quantity not specified","90000","150","","",""
"258640","1097581","6","","9999","1 5.3 oz container","64562","150","","",""
"247139","1097581","7","","9999","1 container, NFS","60598","150","","",""
"237141","1097581","8","","9999","1 cup","10205","245","","",""
"260344","1097582","3","","9999","Quantity not specified","90000","93","","",""
"255419","1097582","1","","9999","1 bottle","64039","93","","",""
"237142","1097582","2","","9999","1 cup","10205","245","","",""
"260345","1097583","3","","9999","Quantity not specified","90000","60","","",""
"247805","1097583","2","","9999","1 individual container","60868","70","","",""
"240538","1097583","1","","9999","1 tablespoon","21000","15","","",""
"260346","1097584","3","","9999","Quantity not specified","90000","60","","",""
"247806","1097584","2","","9999","1 individual container","60868","70","","",""
"240539","1097584","1","","9999","1 tablespoon","21000","15","","",""
"260347","1097585","3","","9999","Quantity not specified","90000","60","","",""
"247807","1097585","2","","9999","1 individual container","60868","70","","",""
"240540","1097585","1","","9999","1 tablespoon","21000","15","","",""
"260348","1097586","3","","9999","Quantity not specified","90000","60","","",""
"247808","1097586","2","","9999","1 individual container","60868","70","","",""
"240541","1097586","1","","9999","1 tablespoon","21000","15","","",""
"260349","1097587","3","","9999","Quantity not specified","90000","60","","",""
"247809","1097587","2","","9999","1 individual container","60868","70","","",""
"240542","1097587","1","","9999","1 tablespoon","21000","15","","",""
"260350","1097588","3","","9999","Quantity not specified","90000","60","","",""
"247810","1097588","2","","9999","1 individual container","60868","70","","",""
"240543","1097588","1","","9999","1 tablespoon","21000","15","","",""
"260351","1097589","3","","9999","Quantity not specified","90000","60","","",""
"247811","1097589","2","","9999","1 individual container","60868","70","","",""
"240544","1097589","1","","9999","1 tablespoon","21000","15","","",""
"260352","1097590","2","","9999","Quantity not specified","90000","150","","",""
"256195","1097590","1","","9999","1 McDonald's parfait","64283","150","","",""
"260178","1097591","4","","9999","1 medium ice cream cup","64734","320","","",""
"260164","1097591","3","","9999","1 small ice cream cup","64733","160","","",""
"260192","1097591","5","","9999","1 large ice cream cup","64735","480","","",""
"260353","1097591","6","","9999","Quantity not specified","90000","175","","",""
"256200","1097591","2","","9999","1 scoop","64289","160","","",""
"237143","1097591","1","","9999","1 cup","10205","175","","",""
"260354","1097592","6","","9999","Quantity not specified","90000","175","","",""
"260193","1097592","5","","9999","1 large ice cream cup","64735","480","","",""
"260179","1097592","4","","9999","1 medium ice cream cup","64734","320","","",""
"260165","1097592","3","","9999","1 small ice cream cup","64733","160","","",""
"256201","1097592","2","","9999","1 scoop","64289","160","","",""
"237144","1097592","1","","9999","1 cup","10205","175","","",""
"260355","1097593","6","","9999","Quantity not specified","90000","175","","",""
"260180","1097593","4","","9999","1 medium ice cream cup","64734","320","","",""
"260194","1097593","5","","9999","1 large ice cream cup","64735","480","","",""
"260166","1097593","3","","9999","1 small ice cream cup","64733","160","","",""
"256202","1097593","2","","9999","1 scoop","64289","160","","",""
"237145","1097593","1","","9999","1 cup","10205","175","","",""
"260356","1097594","2","","9999","Quantity not specified","90000","175","","",""
"237146","1097594","1","","9999","1 cup","10205","175","","",""
"260357","1097595","2","","9999","Quantity not specified","90000","175","","",""
"237147","1097595","1","","9999","1 cup","10205","175","","",""
"260358","1097596","2","","9999","Quantity not specified","90000","75","","",""
"251287","1097596","1","","9999","1 sandwich","61853","75","","",""
"260359","1097597","2","","9999","Quantity not specified","90000","65","","",""
"246461","1097597","1","","9999","1 bar","60345","65","","",""
"260360","1097598","2","","9999","Quantity not specified","90000","65","","",""
"246462","1097598","1","","9999","1 bar","60345","65","","",""
"260361","1097599","2","","9999","Quantity not specified","90000","125","","",""
"247094","1097599","1","","9999","1 cone","60589","125","","",""
"260362","1097600","2","","9999","Quantity not specified","90000","125","","",""
"247095","1097600","1","","9999","1 cone","60589","125","","",""
"260363","1097601","2","","9999","Quantity not specified","90000","255","","",""
"247096","1097601","1","","9999","1 cone","60589","255","","",""
"260364","1097602","2","","9999","Quantity not specified","90000","255","","",""
"247097","1097602","1","","9999","1 cone","60589","255","","",""
"260365","1097603","2","","9999","Quantity not specified","90000","85","","",""
"256196","1097603","1","","9999","1 container","64284","113","","",""
"260366","1097604","2","","9999","Quantity not specified","90000","85","","",""
"256197","1097604","1","","9999","1 container","64284","113","","",""
"260367","1097605","2","","9999","Quantity not specified","90000","85","","",""
"256198","1097605","1","","9999","1 container","64284","113","","",""
"260368","1097606","2","","9999","Quantity not specified","90000","85","","",""
"256199","1097606","1","","9999","1 container","64284","113","","",""
"260369","1097607","3","","9999","Quantity not specified","90000","248","","",""
"256245","1097607","5","","9999","1 individual school container","64294","248","","",""
