"id","fdc_id","seq_num","food_attribute_type_id","name","value"
"966801","1097616","7","1001","","Starbucks"
"966799","1097616","5","1001","","chocolate caliente"
"966796","1097616","2","1001","","NS as to milk"
"966795","1097616","1","1001","","whole, 2%, or reduced fat milk"
"985144","1097616","","999","WWEIA Category number","1204"
"993335","1097616","","999","WWEIA Category description","Flavored milk, reduced fat"
"966808","1097617","5","1001","","made from syrup, tablet, or bar"
"966807","1097617","4","1001","","Starbucks"
"966804","1097617","1","1001","","low fat, fat free, skim, or 1% milk"
"966806","1097617","3","1001","","chocolate caliente"
"966805","1097617","2","1001","","chocolate espanol"
"985145","1097617","","999","WWEIA Category number","1208"
"993336","1097617","","999","WWEIA Category description","Flavored milk, nonfat"
"966810","1097618","2","1001","","chocolate espanol"
"966813","1097618","5","1001","","made from syrup, tablet, or bar"
"966809","1097618","1","1001","","almond, coconut, rice, or soy milk"
"966811","1097618","3","1001","","chocolate caliente"
"966812","1097618","4","1001","","Starbucks"
"985146","1097618","","999","WWEIA Category number","1404"
"993337","1097618","","999","WWEIA Category description","Milk substitutes"
"966819","1097619","6","1001","","Dunkin Donuts"
"966817","1097619","4","1001","","McDonald's"
"966820","1097619","7","1001","","made from syrup, tablet, or bar"
"966814","1097619","1","1001","","whole, 2%, or reduced fat milk"
"966818","1097619","5","1001","","Starbucks"
"966816","1097619","3","1001","","evaporated milk"
"966815","1097619","2","1001","","NS as to milk"
"985147","1097619","","999","WWEIA Category number","1204"
"993338","1097619","","999","WWEIA Category description","Flavored milk, reduced fat"
"966823","1097620","3","1001","","made from syrup, tablet, or bar"
"966821","1097620","1","1001","","low fat, fat free, skim, or 1% milk"
"966822","1097620","2","1001","","Starbucks"
"985148","1097620","","999","WWEIA Category number","1208"
"993339","1097620","","999","WWEIA Category description","Flavored milk, nonfat"
"966825","1097621","2","1001","","Starbucks"
"966826","1097621","3","1001","","made from syrup, tablet, or bar"
"966824","1097621","1","1001","","almond, coconut, rice, or soy milk"
"985149","1097621","","999","WWEIA Category number","1404"
"993340","1097621","","999","WWEIA Category description","Milk substitutes"
"985150","1097622","","999","WWEIA Category number","1204"
"993341","1097622","","999","WWEIA Category description","Flavored milk, reduced fat"
"985151","1097623","","999","WWEIA Category number","1202"
"993342","1097623","","999","WWEIA Category description","Flavored milk, whole"
"966827","1097624","4","1001","","2% fat"
"985152","1097624","","999","WWEIA Category number","1204"
"993343","1097624","","999","WWEIA Category description","Flavored milk, reduced fat"
"966828","1097625","4","1001","","1% fat"
"985153","1097625","","999","WWEIA Category number","1206"
"993344","1097625","","999","WWEIA Category description","Flavored milk, lowfat"
"966829","1097626","3","1001","","nonfat milk"
"966830","1097626","4","1001","","skim milk"
"985154","1097626","","999","WWEIA Category number","1208"
"993345","1097626","","999","WWEIA Category description","Flavored milk, nonfat"
"966831","1097627","1","1001","","almond, coconut, rice, or soy milk"
"985155","1097627","","999","WWEIA Category number","1404"
"993346","1097627","","999","WWEIA Category description","Milk substitutes"
"966832","1097628","2","1001","","less sugar, sugar free, or fat free mix"
"985156","1097628","","999","WWEIA Category number","1204"
"993347","1097628","","999","WWEIA Category description","Flavored milk, reduced fat"
"966833","1097629","2","1001","","less sugar, sugar free, or fat free mix"
"985157","1097629","","999","WWEIA Category number","1202"
"993348","1097629","","999","WWEIA Category description","Flavored milk, whole"
"966835","1097630","4","1001","","2% fat"
"966834","1097630","3","1001","","less sugar, sugar free, or fat free mix"
"985158","1097630","","999","WWEIA Category number","1204"
"993349","1097630","","999","WWEIA Category description","Flavored milk, reduced fat"
"966836","1097631","3","1001","","less sugar, sugar free, or fat free mix"
"966837","1097631","4","1001","","1% fat"
"985159","1097631","","999","WWEIA Category number","1206"
"993350","1097631","","999","WWEIA Category description","Flavored milk, lowfat"
"966840","1097632","5","1001","","skim"
"966839","1097632","4","1001","","nonfat milk"
"966838","1097632","3","1001","","less sugar, sugar free, or fat free mix"
"985160","1097632","","999","WWEIA Category number","1208"
"993351","1097632","","999","WWEIA Category description","Flavored milk, nonfat"
"966841","1097633","1","1001","","almond, coconut, rice, or soy milk"
"985161","1097633","","999","WWEIA Category number","1404"
"993352","1097633","","999","WWEIA Category description","Milk substitutes"
"966842","1097634","1","1001","","regular, reduced, or less sugar"
"966843","1097634","2","1001","","25% less sugar"
"985162","1097634","","999","WWEIA Category number","1204"
"993353","1097634","","999","WWEIA Category description","Flavored milk, reduced fat"
"966845","1097635","2","1001","","25% less sugar"
"966844","1097635","1","1001","","regular, reduced, or less sugar"
"985163","1097635","","999","WWEIA Category number","1202"
"993354","1097635","","999","WWEIA Category description","Flavored milk, whole"
"966847","1097636","2","1001","","25% less sugar"
"966848","1097636","3","1001","","2% fat"
"966846","1097636","1","1001","","regular, reduced, or less sugar"
"985164","1097636","","999","WWEIA Category number","1204"
"993355","1097636","","999","WWEIA Category description","Flavored milk, reduced fat"
"966851","1097637","3","1001","","1% fat"
"966850","1097637","2","1001","","25% less sugar"
"966849","1097637","1","1001","","regular, reduced, or less sugar"
"985165","1097637","","999","WWEIA Category number","1206"
"993356","1097637","","999","WWEIA Category description","Flavored milk, lowfat"
"966855","1097638","4","1001","","skim"
