"fdc_id","food_code","wweia_category_number","start_date","end_date"
"1097983","13220110","5804","2017-01-01","2018-12-31"
"1097984","13220120","5804","2017-01-01","2018-12-31"
"1097985","13220210","5804","2017-01-01","2018-12-31"
"1097986","13220220","5804","2017-01-01","2018-12-31"
"1097987","13230110","5804","2017-01-01","2018-12-31"
"1097988","13230120","5804","2017-01-01","2018-12-31"
"1097989","13230130","5804","2017-01-01","2018-12-31"
"1097990","13230140","5804","2017-01-01","2018-12-31"
"1097991","13230500","5804","2017-01-01","2018-12-31"
"1097992","13241000","5804","2017-01-01","2018-12-31"
"1097993","13250000","5804","2017-01-01","2018-12-31"
"1097994","13252200","5804","2017-01-01","2018-12-31"
"1097995","13252500","5804","2017-01-01","2018-12-31"
"1097996","13252590","5804","2017-01-01","2018-12-31"
"1097997","13252600","5502","2017-01-01","2018-12-31"
"1097998","13310000","9012","2017-01-01","2018-12-31"
"1097999","13311000","9012","2017-01-01","2018-12-31"
"1098000","13312000","9012","2017-01-01","2018-12-31"
"1098001","13411000","8412","2017-01-01","2018-12-31"
"1098002","14010000","1602","2017-01-01","2018-12-31"
"1098003","14101010","1602","2017-01-01","2018-12-31"
"1098004","14102010","1602","2017-01-01","2018-12-31"
"1098005","14103010","1602","2017-01-01","2018-12-31"
"1098006","14103020","1602","2017-01-01","2018-12-31"
"1098007","14104100","1602","2017-01-01","2018-12-31"
"1098008","14104110","1602","2017-01-01","2018-12-31"
"1098009","14104115","1602","2017-01-01","2018-12-31"
"1098010","14104200","1602","2017-01-01","2018-12-31"
"1098011","14104250","1602","2017-01-01","2018-12-31"
"1098012","14104400","1602","2017-01-01","2018-12-31"
"1098013","14104600","1602","2017-01-01","2018-12-31"
"1098014","14104700","1602","2017-01-01","2018-12-31"
"1098015","14105010","1602","2017-01-01","2018-12-31"
"1098016","14105200","1602","2017-01-01","2018-12-31"
"1098017","14106010","1602","2017-01-01","2018-12-31"
"1098018","14106200","1602","2017-01-01","2018-12-31"
"1098019","14106500","1602","2017-01-01","2018-12-31"
"1098020","14107010","1602","2017-01-01","2018-12-31"
"1098021","14107030","1602","2017-01-01","2018-12-31"
"1098022","14107040","1602","2017-01-01","2018-12-31"
